threshold,precision,recall
0.0,3.065729234793983e-05,0.0010211027910142954
0.01010204081632653,0.0054007112728475725,0.22226004084411163
0.02020408163265306,0.008613898333195124,0.2828454731109598
0.03030612244897959,0.011051022807430049,0.3039482641252553
0.04040816326530612,0.013202689171792304,0.3141592920353982
0.05051020408163265,0.015538612808072342,0.3281143635125936
0.06061224489795918,0.01710952228506385,0.3274336283185841
0.07071428571428572,0.019207729468599034,0.33832539142273654
0.08081632653061224,0.021477015825169556,0.34921715452688906
0.09091836734693877,0.022904013805159006,0.34785568413886997
0.1010204081632653,0.024521018015441806,0.3502382573179033
0.11112244897959184,0.025671296877747357,0.34785568413886997
0.12122448979591836,0.02701557368365293,0.34717494894486045
0.1313265306122449,0.028463792381749686,0.34717494894486045
0.14142857142857143,0.029980345566018363,0.34785568413886997
0.15153061224489794,0.031110020249125604,0.34513274336283184
0.16163265306122448,0.03243879922325152,0.34683458134785566
0.17173469387755103,0.034211834908005966,0.3512593601089176
0.18183673469387754,0.036214389183969097,0.3573859768550034
0.19193877551020408,0.038097287989668535,0.36147038801906056
0.2020408163265306,0.03993010372904041,0.3655547991831178
0.21214285714285713,0.04157372509806938,0.3679373723621511
0.22224489795918367,0.043000515688841286,0.36895847515316543
0.2323469387755102,0.04421490977382216,0.36861810755616065
0.24244897959183673,0.045819834223923925,0.37066031313818926
0.25255102040816324,0.04728561549100968,0.3723621511232131
0.2626530612244898,0.048512953136843985,0.37031994554118447
0.2727551020408163,0.05009863742716888,0.37168141592920356
0.28285714285714286,0.051940101714070444,0.37542545949625594
0.2929591836734694,0.05338560573060355,0.37542545949625594
0.3030612244897959,0.05493201483312732,0.37814840027229407
0.31316326530612243,0.056831983805668014,0.38223281143635124
0.32326530612244897,0.058805194805194805,0.38529611980939416
0.3333673469387755,0.060819087181125844,0.3886997957794418
0.34346938775510205,0.06226507599280928,0.38904016337644654
0.35357142857142854,0.06391729657625611,0.39142273655547993
0.3636734693877551,0.06536579815678689,0.39108236895847515
0.3737755102040816,0.06667440376022747,0.39108236895847515
0.38387755102040816,0.06863152890843187,0.39312457454050376
0.3939795918367347,0.07020100807675958,0.3934649421375085
0.4040816326530612,0.0725327726935444,0.39925119128658954
0.4141836734693877,0.07447682872858317,0.40095302927161336
0.42428571428571427,0.07563458317227162,0.39959155888359427
0.4343877551020408,0.07702906633423004,0.39959155888359427
0.44448979591836735,0.07840780070794096,0.39959155888359427
0.4545918367346939,0.08077956063631982,0.39925119128658954
0.4646938775510204,0.08283482299950735,0.40061266167460857
0.4747959183673469,0.08444731924680178,0.39993192648059905
0.48489795918367345,0.0860966105433424,0.39857045609257996
0.495,0.08896635344043649,0.39959155888359427
0.5051020408163265,0.09041117025379927,0.39891082368958475
0.5152040816326531,0.09200094198916713,0.39891082368958475
0.5253061224489796,0.09515711046323291,0.39993192648059905
0.5354081632653062,0.09697119749112816,0.39993192648059905
0.5455102040816326,0.09791210641522141,0.3958475153165419
0.5556122448979591,0.09980228659846987,0.3951667801225323
0.5657142857142857,0.10137321787807224,0.3944860449285228
0.5758163265306122,0.10294772464155312,0.3934649421375085
0.5859183673469388,0.10332271279016841,0.38631722260040846
0.5960204081632653,0.10507783543365457,0.3859768550034037
0.6061224489795918,0.10689687706387395,0.3856364874063989
0.6162244897959184,0.10828453489488336,0.38393464942137506
0.6263265306122449,0.11082827491678089,0.38529611980939416
0.6364285714285715,0.11303655014440793,0.38631722260040846
0.6465306122448979,0.11512825691779438,0.3880190605854323
0.6566326530612244,0.11708470394736842,0.3876786929884275
0.666734693877551,0.11913960530437506,0.388359428182437
0.6768367346938775,0.12179213002566296,0.3876786929884275
0.6869387755102041,0.12476722532588454,0.3876786929884275
0.6970408163265306,0.1277547824141403,0.3886997957794418
0.7071428571428571,0.12962539972590223,0.38631722260040846
0.7172448979591837,0.13167673014398515,0.3859768550034037
0.7273469387755102,0.13392539964476022,0.38495575221238937
0.7374489795918368,0.13647882225171956,0.38495575221238937
0.7475510204081632,0.13854460670020863,0.38427501701837985
0.7576530612244897,0.14223112557906598,0.3866575901974132
0.7677551020408163,0.1458974358974359,0.3873383253914227
0.7778571428571428,0.14971788479202205,0.388359428182437
0.7879591836734694,0.1527350541661094,0.3886997957794418
0.7980612244897959,0.15650267233109497,0.3886997957794418
0.8081632653061224,0.1593006993006993,0.3876786929884275
0.818265306122449,0.16349047141424272,0.388359428182437
0.8283673469387755,0.16859430604982206,0.386997957794418
0.838469387755102,0.1738998482549317,0.39006126616746084
0.8485714285714285,0.1782147315855181,0.3886997957794418
0.8586734693877551,0.1826045170591062,0.3880190605854323
0.8687755102040816,0.18699588477366255,0.3866575901974132
0.8788775510204081,0.19289598912304554,0.38631722260040846
0.8889795918367347,0.19646569646569648,0.3859768550034037
0.8990816326530612,0.19890090409501862,0.3818924438393465
0.9091836734693878,0.2048611111111111,0.3815520762423417
0.9192857142857143,0.20928920646859722,0.3788291354663036
0.9293877551020407,0.2178041543026706,0.3747447243022464
0.9394897959183673,0.2236842105263158,0.37031994554118447
0.9495918367346938,0.23382763808295723,0.37031994554118447
0.9596938775510204,0.24635036496350365,0.36759700476514634
0.9697959183673469,0.2538218878912885,0.35602450646698436
0.9798979591836734,0.275668449197861,0.3509189925119129
0.99,0.3142059553349876,0.3447923757658271
